id,nome,telefone,email,uf,cidade,logradouro,numero
0,Ana Oliveira,(11) 99876-5432,ana.oliveira@gmail.com,SP,São Paulo,Rua das Acácias,123
1,Mariana Costa,(31) 91234-5678,mariana.costa@example.com,MG,Belo Horizonte,Rua da Paz,789
2,Carlos Souza,(21) 98765-4321,carlos.souza@example.com,RJ,Rio de Janeiro,Avenida Atlântica,456
3,Rafael Lima,(41) 99812-3456,rafael.lima@example.com,PR,Curitiba,Rua das Flores,101
4,Fernanda Almeida,(51) 91234-5678,fernanda.almeida@example.com,RS,Porto Alegre,Rua Independência,202
5,Pedro Santos,(71) 98765-1234,pedro.santos@example.com,BA,Salvador,Avenida Sete de Setembro,303
6,Julia Mendes,(61) 99876-5432,julia.mendes@example.com,DF,Brasília,Esplanada dos Ministérios,404
7,Thiago Moreira,(85) 98765-4321,thiago.moreira@example.com,CE,Fortaleza,Rua do Sol,505
8,Ricardo Nascimento,(13) 91234-5678,ricardo.nascimento@example.com,SP,Santos,Avenida Ana Costa,707
9,João Silva,(11) 91234-5678,joao.silva@example.com,SP,São Paulo,Rua das Flores,123
10,Maria Oliveira,(21) 98765-4321,maria.oliveira@example.com,RJ,Rio de Janeiro,Avenida Atlântica,456
11,Lucas Pereira,(31) 99876-5432,lucas.pereira@example.com,MG,Belo Horizonte,Rua das Palmeiras,321
12,Isabela Fernandes,(41) 91234-5678,isabela.fernandes@example.com,PR,Curitiba,Rua das Hortênsias,654
13,Matheus Rocha,(51) 98765-4321,matheus.rocha@example.com,RS,Porto Alegre,Rua das Camélias,987
14,Beatriz Lima,(71) 99812-3456,beatriz.lima@example.com,BA,Salvador,Avenida das Mangueiras,111
15,Renato Alves,(61) 91234-5678,renato.alves@example.com,DF,Brasília,Rua das Orquídeas,222
16,Patricia Gomes,(85) 98765-4321,patricia.gomes@example.com,CE,Fortaleza,Rua das Violetas,333
17,André Barbosa,(13) 91234-5678,andre.barbosa@example.com,SP,Santos,Avenida das Rosas,444
18,Carolina Ribeiro,(11) 99876-5432,carolina.ribeiro@example.com,SP,São Paulo,Rua das Margaridas,555
19,Felipe Martins,(21) 91234-5678,felipe.martins@example.com,RJ,Rio de Janeiro,Avenida das Tulipas,666
20,Ana Paula,(31) 98765-4321,ana.paula@example.com,MG,Belo Horizonte,Rua das Azaleias,777
