usuario,nome,id,funcao,telefone,senha
v_joao,João Vieira,0,vendedor,(11) 98765-4321,senhaSegura123
maria_g,Maria Gonçalves,1,gerente,(21) 91234-5678,senhaForte456
carlos_s,Carlos Santos,2,admin,(31) 99876-5432,senha2023!
ana_l,Ana Lima,3,vendedor,(41) 98765-4321,senhaAna123
lucas_m,Lucas Martins,4,gerente,(51) 91234-5678,senhaLucas789
fernanda_r,Fernanda Ribeiro,5,vendedor,(71) 99812-3456,fernandaSenha!
ricardo_a,Ricardo Alves,6,admin,(61) 98765-1234,senhaRicardo@2023
beatriz_c,Beatriz Costa,7,vendedor,(85) 99876-7890,senhaBea456
fabio_t,Fábio Teixeira,8,gerente,(62) 91234-1234,fabioSenha!
julia_p,Julia Pereira,9,vendedor,(13) 98765-9876,senhaJulia2023
string,string,10,vendedor,string,string
ssj,Goku da Silva,11,vendedor,(88)999990000,senha123
string,string,12,vendedor,string,string
marceludo,Marcelim,13,admin,(88)999999999,senhabastantesegura
